OID_,Field1,Lake,Project,Time,PercentCoverage,Depth,POINT_X,POINT_Y
298,298,G-Bay,IMRP,2024-09-09T17:33:48Z,10,35,-79.792109999999980,44.741301000000078
299,299,G-Bay,IMRP,2024-09-09T17:34:32Z,10,34,-79.792154999999980,44.741226000000040
300,300,G-Bay,IMRP,2024-09-09T17:34:51Z,10,34,-79.792203999999970,44.741201000000046
301,301,G-Bay,IMRP,2024-09-09T17:35:18Z,20,34,-79.792253999999957,44.741193000000067
302,302,G-Bay,IMRP,2024-09-09T17:35:44Z,10,40,-79.792338999999970,44.741192000000069
303,303,G-Bay,IMRP,2024-09-09T17:35:52Z,70,60,-79.792369999999949,44.741198000000054
304,304,G-Bay,IMRP,2024-09-09T17:36:14Z,50,70,-79.792430999999965,44.741233000000079
305,305,G-Bay,IMRP,2024-09-09T17:36:46Z,75,65,-79.792446999999981,44.741349000000071
306,306,G-Bay,IMRP,2024-09-09T17:37:20Z,60,70,-79.792392999999947,44.741437000000076
307,307,G-Bay,IMRP,2024-09-09T17:37:33Z,75,70,-79.792350999999940,44.741476000000034
308,308,G-Bay,IMRP,2024-09-09T17:37:49Z,50,70,-79.792314999999974,44.741513000000054
309,309,G-Bay,IMRP,2024-09-09T17:38:22Z,100,70,-79.792258999999945,44.741587000000038
310,310,G-Bay,IMRP,2024-09-09T17:38:54Z,50,70,-79.792139999999961,44.741649000000052
311,311,G-Bay,IMRP,2024-09-09T17:39:34Z,30,70,-79.792077999999947,44.741648000000055
312,312,G-Bay,IMRP,2024-09-09T17:39:56Z,10,70,-79.792022999999972,44.741635000000031
313,313,G-Bay,IMRP,2024-09-09T17:40:14Z,20,75,-79.791955999999971,44.741603000000055
314,314,G-Bay,IMRP,2024-09-09T17:40:23Z,80,75,-79.791922999999940,44.741586000000041
315,315,G-Bay,IMRP,2024-09-09T17:40:43Z,100,75,-79.791848999999957,44.741559000000052
316,316,G-Bay,IMRP,2024-09-09T17:40:52Z,100,60,-79.791818999999975,44.741547000000025
317,317,G-Bay,IMRP,2024-09-09T17:41:17Z,100,40,-79.791753999999969,44.741532000000063
318,318,G-Bay,IMRP,2024-09-09T17:41:27Z,30,35,-79.791713999999956,44.741519000000039
319,319,G-Bay,IMRP,2024-09-09T17:41:43Z,10,30,-79.791654999999935,44.741501000000028
320,320,G-Bay,IMRP,2024-09-09T17:50:25Z,75,65,-79.792445999999984,44.741412000000025
321,321,G-Bay,IMRP,2024-09-09T17:50:51Z,75,70,-79.792519999999968,44.741305000000068
322,322,G-Bay,IMRP,2024-09-09T17:51:05Z,100,75,-79.792545999999959,44.741250000000036
323,323,G-Bay,IMRP,2024-09-09T17:51:18Z,75,70,-79.792575999999940,44.741212000000075
324,324,G-Bay,IMRP,2024-09-09T17:51:37Z,100,70,-79.792620999999940,44.741147000000069
325,325,G-Bay,IMRP,2024-09-09T17:51:41Z,50,63,-79.792634999999962,44.741134000000045
326,326,G-Bay,IMRP,2024-09-09T17:52:17Z,50,64,-79.792675999999972,44.741055000000074
327,327,G-Bay,IMRP,2024-09-09T17:52:39Z,30,50,-79.792724999999962,44.740999000000045
328,328,G-Bay,IMRP,2024-09-09T17:53:58Z,50,80,-79.793065999999953,44.741052000000025
329,329,G-Bay,IMRP,2024-09-09T17:54:27Z,75,80,-79.793043999999952,44.740919000000076
330,330,G-Bay,IMRP,2024-09-09T17:54:38Z,75,80,-79.793024999999943,44.740877000000069
331,331,G-Bay,IMRP,2024-09-09T17:54:49Z,75,80,-79.793015999999966,44.740850000000080
332,332,G-Bay,IMRP,2024-09-09T17:55:06Z,75,80,-79.792993999999965,44.740792000000056
333,333,G-Bay,IMRP,2024-09-09T17:55:14Z,80,70,-79.792976999999951,44.740776000000039
334,334,G-Bay,IMRP,2024-09-09T17:55:26Z,100,70,-79.792952999999954,44.740737000000081
