OID_,Field1,Lake,Project,Time,PercentCoverage,Depth,POINT_X,POINT_Y
1,1,Ontario,IMRP,2024-08-06T19:37:24Z,60,47,-77.693421999999941,44.024396000000081
2,2,Ontario,IMRP,2024-08-06T19:42:11Z,90,55,-77.693478999999968,44.024379000000067
3,3,Ontario,IMRP,2024-08-06T19:46:52Z,80,67,-77.693563999999981,44.024366000000043
4,4,Ontario,IMRP,2024-08-06T19:48:13Z,90,71,-77.693717999999990,44.024337000000060
5,5,Ontario,IMRP,2024-08-06T19:50:39Z,90,78,-77.693868999999950,44.024274000000048
6,6,Ontario,IMRP,2024-08-06T19:56:17Z,0,16,-77.693240831999958,44.024252539000031
7,7,Ontario,IMRP,2024-08-06T19:57:59Z,15,49,-77.693269999999984,44.024236000000030
8,8,Ontario,IMRP,2024-08-06T20:00:34Z,70,62,-77.693296999999973,44.024199000000067
9,9,Ontario,IMRP,2024-08-06T20:03:14Z,60,82,-77.693494999999984,44.024124000000029
10,10,Ontario,IMRP,2024-08-06T20:06:20Z,60,82,-77.693740999999989,44.023998000000063
11,11,Ontario,IMRP,2024-08-06T20:13:03Z,0,33,-77.693070999999975,44.023974000000067
12,12,Ontario,IMRP,2024-08-06T20:15:00Z,50,45,-77.693103999999948,44.023968000000025
13,13,Ontario,IMRP,2024-08-06T20:17:32Z,75,75,-77.693326999999954,44.023882000000071
14,14,Ontario,IMRP,2024-08-06T20:19:55Z,70,82,-77.693546999999967,44.023823000000050
15,15,Ontario,IMRP,2024-08-06T20:21:52Z,60,99,-77.693837999999971,44.023716000000036
16,16,Ontario,IMRP,2024-08-06T20:34:59Z,0,34,-77.691675999999973,44.022612000000038
17,17,Ontario,IMRP,2024-08-06T20:37:32Z,70,45,-77.691727999999955,44.022595000000081
18,18,Ontario,IMRP,2024-08-06T20:39:37Z,30,57,-77.691829999999982,44.022506000000078
19,19,Ontario,IMRP,2024-08-06T20:41:15Z,10,65,-77.692083999999966,44.022377000000063
20,20,Ontario,IMRP,2024-08-06T20:43:32Z,10,73,-77.692474999999945,44.022191000000078
21,21,Ontario,IMRP,2024-08-06T20:49:46Z,20,58,-77.692522999999937,44.019000000000062
22,22,Ontario,IMRP,2024-08-06T20:51:43Z,60,82,-77.692601999999965,44.019020000000069
23,23,Ontario,IMRP,2024-08-06T20:54:31Z,40,75,-77.692558999999960,44.018912000000057
24,24,Ontario,IMRP,2024-08-06T20:55:33Z,20,80,-77.692573999999979,44.018850000000043
25,25,Ontario,IMRP,2024-08-06T20:56:33Z,60,82,-77.692653999999948,44.018777000000057
26,26,Ontario,IMRP,2024-08-06T20:58:15Z,10,52,-77.692511544999945,44.018768792000060
27,27,Ontario,IMRP,2024-08-06T20:59:27Z,30,78,-77.692562999999950,44.018770000000075
28,28,Ontario,IMRP,2024-08-06T21:00:42Z,70,100,-77.692658999999935,44.018717000000038
29,29,Ontario,IMRP,2024-08-06T21:02:43Z,40,69,-77.692472999999950,44.018667000000050
30,30,Ontario,IMRP,2024-08-06T21:03:56Z,20,59,-77.692315999999948,44.018640000000062
31,31,Ontario,IMRP,2024-08-07T14:40:56Z,90,42,-77.069796999999937,44.066376000000048
32,32,Ontario,IMRP,2024-08-07T14:43:31Z,50,40,-77.069824999999980,44.066396000000054
33,33,Ontario,IMRP,2024-08-07T14:45:25Z,70,72,-77.069979999999987,44.066356000000042
34,34,Ontario,IMRP,2024-08-07T14:47:05Z,90,80,-77.070055999999965,44.066302000000064
35,35,Ontario,IMRP,2024-08-07T14:49:07Z,10,25,-77.070255999999972,44.066232000000070
36,36,Ontario,IMRP,2024-08-07T14:51:27Z,100,99,-77.070398999999952,44.066234000000065
37,37,Ontario,IMRP,2024-08-07T14:55:09Z,20,59,-77.070177999999942,44.066165000000069
38,38,Ontario,IMRP,2024-08-07T14:58:43Z,60,31,-77.069641999999988,44.066489000000047
39,39,Ontario,IMRP,2024-08-07T15:01:05Z,60,40,-77.069751999999937,44.066494000000034
40,40,Ontario,IMRP,2024-08-07T15:02:35Z,30,22,-77.069855999999959,44.066480000000070
41,41,Ontario,IMRP,2024-08-07T15:04:31Z,40,52,-77.070118999999977,44.066395000000057
42,42,Ontario,IMRP,2024-08-07T15:06:13Z,90,90,-77.070373999999958,44.066337000000033
43,43,Ontario,IMRP,2024-08-07T15:08:10Z,10,45,-77.070266999999944,44.066357000000039
44,44,Ontario,IMRP,2024-08-07T15:10:08Z,40,55,-77.070153999999945,44.066417000000058
45,45,Ontario,IMRP,2024-08-07T15:13:53Z,70,15,-77.069927999999948,44.066565000000026
46,46,Ontario,IMRP,2024-08-07T15:16:29Z,20,50,-77.069991999999957,44.066549000000066
47,47,Ontario,IMRP,2024-08-07T15:17:58Z,40,53,-77.070108999999945,44.066519000000028
48,48,Ontario,IMRP,2024-08-07T15:18:48Z,10,35,-77.070241999999951,44.066475000000025
