"","OID_","Field1","Lake","Project","Time","PercentCoverage","Depth","POINT_X","POINT_Y","geometry","id_point","fetch_km","weighted_fetch_km","fetch_km_all","weighted_fetch_km_all"
"1",298,298,"G-Bay","IMRP","2024-09-09T17:33:48Z",10,35,-79.79211,44.7413010000001,c(595627.705205262, 4954922.46199095),1,0.0291040678478182,0.0291040678478182,0.810576942182559,0.810576942182559
"2",299,299,"G-Bay","IMRP","2024-09-09T17:34:32Z",10,34,-79.792155,44.741226,c(595624.266229526, 4954914.07792648),2,0.0270929210357071,0.0270929210357071,0.765422493274931,0.765422493274931
"3",300,300,"G-Bay","IMRP","2024-09-09T17:34:51Z",10,34,-79.792204,44.741201,c(595620.428139955, 4954911.24329098),3,0.0280023241476866,0.0280023241476866,0.765365665002862,0.765365665002862
"4",301,301,"G-Bay","IMRP","2024-09-09T17:35:18Z",20,34,-79.792254,44.7411930000001,c(595616.482853734, 4954910.29588601),4,0.0304304133728926,0.0304304133728926,0.810368490827919,0.810368490827919
"5",302,302,"G-Bay","IMRP","2024-09-09T17:35:44Z",10,40,-79.792339,44.7411920000001,c(595609.755095544, 4954910.08494303),5,0.0356053004815226,0.0356053004815226,0.810803555827442,0.810803555827442
"6",303,303,"G-Bay","IMRP","2024-09-09T17:35:52Z",70,60,-79.7923699999999,44.7411980000001,c(595607.290951561, 4954910.71502027),6,0.0379899295954893,0.0379899295954893,0.820696855408995,0.820696855408995
"7",304,304,"G-Bay","IMRP","2024-09-09T17:36:14Z",50,70,-79.792431,44.7412330000001,c(595602.403925591, 4954914.53125052),7,0.0443643891193057,0.0443643891193057,0.822902293569185,0.822902293569185
"8",305,305,"G-Bay","IMRP","2024-09-09T17:36:46Z",75,65,-79.792447,44.7413490000001,c(595600.946023792, 4954927.39802938),8,0.0536586138456864,0.0536586138456864,0.823790928802618,0.823790928802618
"9",306,306,"G-Bay","IMRP","2024-09-09T17:37:20Z",60,70,-79.7923929999999,44.7414370000001,c(595605.076116585, 4954937.23672677),9,0.0552805986186773,0.0552805986186773,0.826785159181277,0.826785159181277
"10",307,307,"G-Bay","IMRP","2024-09-09T17:37:33Z",75,70,-79.7923509999999,44.741476,c(595608.336936128, 4954941.61828543),10,0.0550082215728744,0.0550082215728744,0.827410793627203,0.827410793627203
"11",308,308,"G-Bay","IMRP","2024-09-09T17:37:49Z",50,70,-79.792315,44.7415130000001,c(595611.126033626, 4954945.77063188),11,0.0545703186413318,0.0545703186413318,0.827683655634722,0.827683655634722
"12",309,309,"G-Bay","IMRP","2024-09-09T17:38:22Z",100,70,-79.7922589999999,44.741587,c(595615.437514386, 4954954.05653066),12,0.054339717568461,0.054339717568461,0.827866351948416,0.827866351948416
"13",310,310,"G-Bay","IMRP","2024-09-09T17:38:54Z",50,70,-79.79214,44.7416490000001,c(595624.756404719, 4954961.08346401),13,0.0487503743489503,0.0487503743489503,0.828451259837859,0.828451259837859
"14",311,311,"G-Bay","IMRP","2024-09-09T17:39:34Z",30,70,-79.7920779999999,44.7416480000001,c(595629.666523128, 4954961.04523218),14,0.0450311773307359,0.0450311773307359,0.822097499179086,0.822097499179086
"15",312,312,"G-Bay","IMRP","2024-09-09T17:39:56Z",10,70,-79.792023,44.741635,c(595634.042245056, 4954959.66578791),15,0.0411185929363005,0.0411185929363005,0.821227236309572,0.821227236309572
"16",313,313,"G-Bay","IMRP","2024-09-09T17:40:14Z",20,75,-79.791956,44.7416030000001,c(595639.399324429, 4954956.1898802),16,0.0341763776521281,0.0341763776521281,0.815945938382618,0.815945938382618
"17",314,314,"G-Bay","IMRP","2024-09-09T17:40:23Z",80,75,-79.7919229999999,44.741586,c(595642.039930749, 4954954.34025784),17,0.031038926921802,0.031038926921802,1.05291624903076,1.05291624903076
"18",315,315,"G-Bay","IMRP","2024-09-09T17:40:43Z",100,75,-79.791849,44.7415590000001,c(595647.942956794, 4954951.42799619),18,0.0248167410761511,0.0248167410761511,1.05021704973556,1.05021704973556
