"","OID_","Field1","Lake","Project","Time","PercentCoverage","Depth","POINT_X","POINT_Y","geometry","id_point","fetch_km","weighted_fetch_km","fetch_km_all","weighted_fetch_km_all"
"1",1,1,"Ontario","IMRP","2024-08-06T19:37:24Z",60,47,-77.6934219999999,44.0243960000001,c(764998.500784132, 4879899.60775693),1,0.00308034774559759,0.00308034774559759,1.03581674921321,1.03581674921321
"2",2,2,"Ontario","IMRP","2024-08-06T19:42:11Z",90,55,-77.693479,44.0243790000001,c(764994.008282296, 4879897.53606201),2,0.0101906960204097,0.0101906960204097,1.08823552890701,1.08823552890701
"3",3,3,"Ontario","IMRP","2024-08-06T19:46:52Z",80,67,-77.693564,44.024366,c(764987.253852029, 4879895.8185689),3,0.0339643874777661,0.0339643874777661,1.09793344970248,1.09793344970248
"4",4,4,"Ontario","IMRP","2024-08-06T19:48:13Z",90,71,-77.693718,44.0243370000001,c(764975.040696878, 4879892.1018628),4,0.0711459345546628,0.0711459345546628,1.10593088801007,1.10593088801007
"5",5,5,"Ontario","IMRP","2024-08-06T19:50:39Z",90,78,-77.6938689999999,44.024274,c(764963.219581516, 4879884.61829108),5,0.0886820952083938,0.0886820952083938,1.11313229877068,1.11313229877068
"6",6,6,"Ontario","IMRP","2024-08-06T19:56:17Z",0,16,-77.693240832,44.024252539,c(765013.660508802, 4879884.25587578),6,0.00176571404277278,0.00176571404277278,0.96741351276009,0.96741351276009
"7",7,7,"Ontario","IMRP","2024-08-06T19:57:59Z",15,49,-77.69327,44.024236,c(765011.396571244, 4879882.32494327),7,0.00515001733823588,0.00515001733823588,0.969365975866905,0.969365975866905
"8",8,8,"Ontario","IMRP","2024-08-06T20:00:34Z",70,62,-77.693297,44.0241990000001,c(765009.397645189, 4879878.12828803),8,0.00946392478919797,0.00946392478919797,1.00420721578044,1.00420721578044
"9",9,9,"Ontario","IMRP","2024-08-06T20:03:14Z",60,82,-77.693495,44.024124,c(764993.863178218, 4879869.16051395),9,0.0275929512709552,0.0275929512709552,1.05106743487466,1.05106743487466
"10",10,10,"Ontario","IMRP","2024-08-06T20:06:20Z",60,82,-77.693741,44.0239980000001,c(764974.709072121, 4879854.37351639),10,0.062914571522253,0.062914571522253,1.11889943571859,1.11889943571859
"11",11,11,"Ontario","IMRP","2024-08-06T20:13:03Z",0,33,-77.693071,44.0239740000001,c(765028.514250059, 4879853.86378872),11,0.00324337746740715,0.00324337746740715,0.970616178450969,0.970616178450969
"12",12,12,"Ontario","IMRP","2024-08-06T20:15:00Z",50,45,-77.6931039999999,44.023968,c(765025.896177049, 4879853.09113567),12,0.00619873288347823,0.00619873288347823,0.972410429647933,0.972410429647933
"13",13,13,"Ontario","IMRP","2024-08-06T20:17:32Z",75,75,-77.693327,44.0238820000001,c(765008.407060338, 4879842.82105002),13,0.0293497575410357,0.0293497575410357,1.02370195166807,1.02370195166807
"14",14,14,"Ontario","IMRP","2024-08-06T20:19:55Z",70,82,-77.693547,44.023823,c(764991.03792168, 4879835.5596848),14,0.0517467154110117,0.0517467154110117,1.06519339504415,1.06519339504415
"15",15,15,"Ontario","IMRP","2024-08-06T20:21:52Z",60,99,-77.693838,44.023716,c(764968.192369203, 4879822.7383282),15,0.0805243904228126,0.0805243904228126,1.07452825935325,1.07452825935325
"16",16,16,"Ontario","IMRP","2024-08-06T20:34:59Z",0,34,-77.691676,44.022612,c(765146.396012788, 4879707.07051529),16,0.00541659412476853,0.00541659412476853,0.781621444329758,0.781621444329758
"17",17,17,"Ontario","IMRP","2024-08-06T20:37:32Z",70,45,-77.691728,44.0225950000001,c(765142.304152703, 4879705.01482215),17,0.0101946363753198,0.0101946363753198,0.844881228839778,0.844881228839778
"18",18,18,"Ontario","IMRP","2024-08-06T20:39:37Z",30,57,-77.69183,44.0225060000001,c(765134.526123416, 4879694.80077255),18,0.0224942638639065,0.0224942638639065,0.851419863530278,0.851419863530278
"19",19,19,"Ontario","IMRP","2024-08-06T20:41:15Z",10,65,-77.692084,44.0223770000001,c(765114.74394039, 4879679.65440024),19,0.0469887828868529,0.0469887828868529,0.877348397653853,0.877348397653853
"20",20,20,"Ontario","IMRP","2024-08-06T20:43:32Z",10,73,-77.6924749999999,44.0221910000001,c(765084.235551283, 4879657.73583196),20,0.0850615970512924,0.0850615970512924,1.04378978707929,1.04378978707929
"21",21,21,"Ontario","IMRP","2024-08-06T20:49:46Z",20,58,-77.6925229999999,44.0190000000001,c(765094.622648855, 4879303.14193962),21,0.000468104344429463,0.000468104344429463,0.899465745549183,0.899465745549183
"22",22,22,"Ontario","IMRP","2024-08-06T20:51:43Z",60,82,-77.692602,44.0190200000001,c(765088.201333956, 4879305.10914709),22,0.00781163885380382,0.00781163885380382,1.02639299055315,1.02639299055315
"23",23,23,"Ontario","IMRP","2024-08-06T20:54:31Z",40,75,-77.692559,44.0189120000001,c(765092.129662605, 4879293.25148939),23,0.0025402967201183,0.0025402967201183,1.00622555008605,1.00622555008605
"24",24,24,"Ontario","IMRP","2024-08-06T20:55:33Z",20,80,-77.692574,44.01885,c(765091.203915918, 4879286.31657691),24,0.00470178827077614,0.00470178827077614,1.12537114246487,1.12537114246487
